FY2016 Pest Lists																	
																	
Scientific Name	Common Name	Pests of Economic and Environmental Importance	Asian Defoliator	Corn	Cotton	Cyst Nematode	EWB/BB	Grape	Mollusk	Oak	Palm	Pine	Small Grains	Solanaceous	Soybean	Stone Fruit	Tropical Hosts
Adoxophyes orana	Summer fruit tortrix moth									X						X	
Aeolesthes sarta	City longhorned beetle									X							
Agrilus auroguttatus	Goldspotted oak borer						X										
Agrilus biguttatus	Oak splendor beetle	X					X			X							
Agrilus planipennis	Emerald ash borer						X										
Alectra vogelii	Yellow witchweed														X		
Anoplophora chinensis	Citrus longhorned beetle						X										
Anoplophora glabripennis	Asian longhorned beetle						X										
Anthonomus grandis 	Boll weevil				X												
Archips xylosteanus	Variegated golden tortrix									X							
Argyresthia pruniella 	Cherry blossom moth															X	
Aspidiotus rigidus	False coconut scale																X
Autographa gamma	Silver Y moth			X	X			X					X	X	X		
Bactrocera zonata	Peach fruit fly															X	
Belocaulus spp. 	No common name, leatherleaf slugs	X 							X								
Brevipalpus chilensis	Chilean false red mite							X									
Bursaphelenchus cocophilus	Red ring nematode										X						
Candidatus Phytoplasma australiense 16SrXII-B	Australian grapevine yellows	X						X						X			
Candidatus Phytoplasma mali 16SrX-A	Apple proliferation	X															
Candidatus Phytoplasma palmae 16Sr-IV 	Palm lethal yellowing phytoplasma										X						
Candidatus Phytoplasma pini 16SrXXI-A	Pine witches’ broom phytoplasma	X										X					
Candidatus Phytoplasma prunorum 16SrX-F	European stone fruit yellows															X	
Candidatus Phytoplasma solani 16SrXII-A	Bois noir; Stolbur	X						X									
Candidatus Phytoplasma vitis 16SrV-C 	Flavescence dorée	X						X									
Ceratocystis manginecans	Mango sudden decline																X
Cernuella spp. 	No common name, hygromiid snails								X								
Cernuella virgata	Maritime garden snail												X		X		
Ceroplastes destructor	Soft wax scale	X															
Ceroplastes japonicus	Japanese wax scale	X															
Chilo suppressalis	Asiatic rice borer	X		X													
Chlorophorus annularis	Bamboo borer						X										
Chlorophorus strobilicola	Slender-banded pine cone longhorn beetle						X										
Chrysodeixis chalcites	Golden twin spot moth													X	X		
Cocadviroid coconut cadang-cadang viroid	Coconut cadang cadang viroid - CCCVd										X						
Cochlicella spp. 	No common name, cochlicellid snails								X				X				
Colosius spp. 	No common name, leatherleaf slugs	X							X								
Conogethes punctiferalis	Castor capsule borer																X
Crocidosema aporema	Bud borer														X		
Cronartium flaccidum	Scots pine blister rust	X										X					
Cryptoblabes gnidiella 	Honeydew moth	X						X									
Darna pallivitta 	Nettle caterpillar										X						
Dendroctonus micans	Great spruce bark beetle						X					X					
Dendrolimus pini	Pine-tree lappet	X	X									X					
Dendrolimus punctatus	Masson pine moth	X	X									X					
Dendrolimus sibiricus	Siberian silk moth	X	X									X					
Diabrotica speciosa	Cucurbit beetle	X		X									X		X		
Diprion pini	Pine sawfly	X										X					
Ditylenchus angustus	Rice stem nematode	X															
Enarmonia formosana	Cherry bark tortrix															X	
Epiphyas postvittana	Light brown apple moth							X								X	
Eupoecilia ambiguella	European grape berry moth							X									
Eutetranychus orientalis	Citrus brown mite				X										X		
Fusarium oxysporum f.sp. cubense tropical race 4	Panama disease TR4																X
Globodera pallida	Pale cyst nematode					X								X			
Globodera rostochiensis	Golden nematode					X								X			
Grapholita funebrana	Plum fruit moth															X	
Gymnandrosoma aurantianum	Citrus fruit borer																X
Haplaxius crudus	American palm cixiid										X						
Harpophora maydis	Late wilt of corn	X		X													
Helicoverpa armigera	Old world bollworm	X		X	X								X	X	X		
Hemileia vastatrix	Coffee leaf rust																X
Heterodera cajani	Pigeonpea cyst nematode					X											
Heterodera ciceri	Chickpea cyst nematode					X											
Heterodera filipjevi	Cereal cyst nematode					X							X				
Heterodera latipons	Mediterranean cereal cyst nematode					X							X				
Heterodera sacchari	Sugar cane cyst nematode					X											
Heteronychus arator	Black maize beetle			X				X									
Hylobius abietis	Large pine weevil											X					
Hymenoscyphus fraxineus	Ash dieback	X															
Ips sexdentatus	Six-toothed bark beetle						X										
Ips typographus	European spruce bark beetle						X										
Laevicaulis spp. 	No common name, leatherleaf slugs	X							X								
Leucoptera malifoliella 	Pear leaf blister moth															X	
Lissachatina fulica	Giant African snail	X							X								
Lobesia botrana	European grape vine moth							X								X	
Lycorma delicatula	Spotted lanternfly							X									
Lymantria albescens	Okinawa gypsy moth		X														
Lymantria dispar asiatica	Asian gypsy moth		X							X							
Lymantria dispar japonica	Japanese gypsy moth 		X														
Lymantria mathura	Rosy moth	X	X							X		X					
Lymantria monacha	Nun moth 		X														
Lymantria postalba	White-winged gypsy moth		X														
Lymantria umbrosa	Hokkaido gypsy moth		X														
Lymantria xylina 	Casuarina tussock moth		X														
Massicus raddei	Mountain oak longhorned beetle	X								X							
Megaplatypus mutatus 	No common name, an ambrosia beetle	X					X										
Meghimatium pictum 	Chinese slug	X							X								
Meloidogyne artiellia	British root-knot nematode												X				
Meloidogyne fallax	False columbia root-knot nematode 													X			
Meloidogyne minor	Root-knot nematode 													X			
