																																																																											
Scientific Name	Common Name	Alfalfa	Almond	Apple*	Apricot	Asparagus	Avocado	Banana	Barley	Bean, dried 	Bean, fresh	Blackberry; Boysenberry; Raspberry	Blueberry*	Broccoli	Cabbage	Cacao (cocoa bean)	Canola	Cantaloupe/Muskmelon	Carrot	Cassava	Cauliflower	Celery	Chickpea	Cherry*	Citrus	Clover	Coffee	Corn	Cotton	Cowpea	Cucumber	Eggplant	Fig	Garlic	Grape	Honeydew melon	Kale	Leek	Lentil	Lettuce	Mango	Mustard	Oak	Oats	Onion	Palm (coconut palm, oil palm, etc.	Papaya	Pea, dried	Pea, fresh	Peach	Peanut	Pear	Pecan	Pepper	Pigeon pea	Pine	Plum	Potato	Pumpkin, Squash/ Zucchini	Rice	Rye	Sorghum	Soybean	Spinach	Strawberry	Sugarcane	Sunflower	Sweet potato	Taro	Tobacco	Tomato	Walnut*	Watermelon	Wheat	Pest Commodity Total
Agrilus biguttatus	Oak splendour beetle																																										▲																																1
Anguina tritici	Wheat gall nematode																																																												▲													▲	2
 'Candidatus Phytoplasma australiense' 16SrXII-B	Australian grapevine yellows	▲																																	▲												▲											▲							▲										5
 'Candidatus Phytoplasma mali' 16SrX-A	Apple proliferation			▲																																																																							1
 'Candidatus Phytoplasma phoenicium' 16SrIX-B	Almond witches' broom		▲																																															▲																									2
 'Candidatus Phytoplasma solani' 16SrXII-A	Bois noir; Stolbur																																		▲																																								1
 'Candidatus Phytoplasma vitis' 16SrV-C	Flavescence dorée 																																		▲																																								1
Ceroplastes japonicus	Japanese wax scale    				▲																				▲																																▲																		3
Chilo suppressalis	Asiatic rice borer																																																											▲															1
Cronartium flaccidum	Scots pine blister rust																																																							▲																			1
Cryptoblabes gnidiella	Christmas berry webworm						▲																		▲										▲																																								3
Dendrolimus pini	Pine-tree lappet																																																							▲																			1
Dendrolimus punctatus	Masson pine moth																																																							▲																			1
Dendrolimus sibiricus	Siberian silk moth																																																							▲																			1
Diabrotica speciosa	Cucurbit beetle																											▲							▲																▲			▲				▲	▲				▲											▲	8
Eurygaster integriceps	Sunn pest																																																																									▲	1
Harpophora maydis	Late wilt of corn																											▲																																															1
Helicoverpa armigera	Old world bollworm    								▲		▲			▲	▲		▲				▲				▲			▲	▲	▲		▲												▲					▲		▲			▲	▲			▲	▲			▲	▲				▲			▲	▲			▲	24
Hymenoscyphus fraxineus 	Ash dieback																																																																										0
Laodelphax striatellus	Small brown planthopper								▲																																			▲																▲														▲	4
Megaplatypus mutatus	No common name, an ambrosia beetle			▲																																																																				▲			2
Neoleucinodes elegantalis	Tomato fruit borer																															▲																						▲																	▲				3
Oxycarenus hyalinipennis	Cotton seed bug																												▲																																														1
Paysandisia archon	South American palm borer																																													▲																													1
Phytophthora alni	Alder root and collar rot																																																																										0
Phytophthora kernoviae	Beech bleeding canker																																																																										0
Platypus quercivorus	Oak ambrosia beetle																																										▲																																1
Pseudopezicula tracheiphila	Rotbrenner																																		▲																																								1
Raffaelea quercivora	Japanese oak wilt																																										▲																																1
Ralstonia solanacearum race 3 biovar 2	Bacterial wilt																															▲																						▲				▲													▲				4
Spodoptera litura	Cotton cutworm 	▲		▲				▲			▲			▲	▲	▲	▲				▲		▲		▲	▲	▲	▲	▲	▲		▲			▲		▲					▲			▲						▲			▲				▲		▲		▲	▲		▲		▲	▲	▲	▲	▲				33
Tecia solanivora	Guatemalan potato moth																																																									▲																	1
Thaumatotibia leucotreta	False codling moth    				▲		▲																		▲		▲	▲	▲												▲		▲							▲				▲			▲					▲													12
Thaumetopoea pityocampa	Pine processionary moth																																																							▲																			1
Thaumetopoea processionea	Oak processionary moth																																										▲																																1
Tobamovirus Cucumber green mottle mosaic virus	Cucumber green mottle mosaic (CGMMV)																														▲																												▲														▲		3
Tomicus destruens	Mediterranean pine shoot beetle																																																							▲																			1
Tospovirus Groundnut bud necrosis virus	Groundnut bud necrosis (GBNV)																																																		▲							▲													▲				3
Tremex fuscicornis	Tremex woodwasp 																																																																										0
Tuta absoluta	Tomato leafminer																																																																						▲				1
Xanthomonas oryzae pv. oryzae, X. oryzae pv. oryzicola 	Bacterial blight, Bacterial leaf streak																																																											▲															1
Total Pests Per Commodity:		2	1	3	2	0	2	1	2	0	2	0	0	2	2	1	2	0	0	0	2	0	1	0	5	1	2	5	4	2	1	4	0	0	7	0	1	0	0	0	1	1	5	2	1	1	1	0	1	2	4	0	0	6	1	6	2	7	3	4	1	3	3	0	2	0	2	1	1	2	6	1	1	5	
																																																																											
▲ = Primary host (economic/environmental  damage has been reported in the scientific literature)																																																																											
* = Included as a commodity and a tree/shrub																																																																											
