																																																																					
Scientific Name	Common Name	Alfalfa	Almond	Apple*	Apricot	Avocado*	Banana	Barley	Bean, fresh	Blackberry; Boysenberry; Raspberry	Blueberry*	Broccoli	Cabbage	Cacao (cocoa bean)	Canola	Carrot	Cauliflower	Chickpea	Cherry*	Citrus	Clover	Coffee	Corn	Cotton	Cowpea	Cucumber	Eggplant	Fig	Garlic	Grape	Kale	Leek	Lettuce	Macadamia	Mango	Mustard	Oak*	Oats	Onion	Palm (coconut palm, oil palm, etc.)	Papaya	Pea, fresh	Peach, Nectarine	Peanut	Pear	Pepper	Pigeon pea	Pine*	Plum	Pomegranate	Potato	Pumpkin, Squash/ Zucchini	Rice	Rye	Sorghum	Soybean	Spinach	Strawberry	Sugarcane	Sunflower	Sweet potato	Taro	Tobacco	Tomato	Walnut*	Watermelon	Wheat	Pest Commodity Total	Notes
Adoxophyes orana	Summer fruit tortrix moth			▲	▲					▲									▲																								▲		▲				▲																			7	
Aeolesthes sarta	City longhorned beetle																																																																▲			1	
Agrilus auroguttatus	Goldspotted oak borer																																				▲																															1	
Agrilus biguttatus	Oak splendour beetle																																				▲																															1	
Alectra vogelii	Yellow witchweed																								▲																																											1	
Anguina tritici	Wheat seed gall nematode																																																					▲													▲	2	
Anoplophora chinensis	Citrus longhorned beetle			▲																▲																																																2	
Anthonomus grandis 	Boll weevil																							▲																																												1	
Archips xylosteanus	Variegated golden tortrix			▲																																	▲																															2	
Argyresthia pruniella 	Cherry blossom moth																		▲																																																	1	
Aspidiotus rigidus	False coconut scale						▲																																	▲																												2	
Autographa gamma	Silver Y moth	▲											▲			▲		▲			▲			▲						▲			▲													▲					▲					▲	▲			▲			▲	▲			▲	16	
Bactrocera zonata	Peach fruit fly																																		▲						▲		▲																									3	
Brevipalpus chilensis	Chilean flat mite																			▲										▲																																						2	
Bursaphelenchus cocophilus	Red ring nematode																																							▲																												1	
Callidiellum villosulum	Brown fir longhorned beetle																																															▲																				1	
 'Candidatus Phytoplasma australiense' 16SrXII-B	Australian grapevine yellows	▲																												▲											▲										▲																	4	
 'Candidatus Phytoplasma mali' 16SrX-A	Apple proliferation			▲																																																																1	
 'Candidatus Phytoplasma palmae' 16Sr-IV 	Palm lethal yellowing																																							▲																												1	
 'Candidatus Phytoplasma phoenicium' 16SrIX-B	Almond witches' broom		▲																																								▲																									2	
 'Candidatus Phytoplasma pini' 16SrXXI-A	Pine witches’ broom																																															▲																				1	
 'Candidatus Phytoplasma prunorum' 16SrX-F	European stone fruit yellows				▲																																						▲																									2	
 'Candidatus Phytoplasma solani' 16SrXII-A	Bois noir; Stolbur																													▲																																						1	
 'Candidatus Phytoplasma vitis' 16SrV-C	Flavescence dorée 																													▲																																						1	
Ceratocystis manginecans	Mango sudden decline																																		▲																																	1	
Ceroplastes japonicus	Japanese wax scale    				▲															▲																													▲																			3	Stone fruit host information is conflicting.  Prunus spp. are reported as a main host (CABI, 2015).  However, peach and cherry are reported as minor hosts (CABI, 2015) and stone fruit are mentioned as minor hosts in EPPO (nd).  
Chilo partellus 	Maize and jowar borer																						▲																																▲													2	
Chilo suppressalis	Asiatic rice borer																																																				▲															1	
Chlorophorus annularis	Bamboo borer																			▲			▲	▲						▲																													▲									5	
Chlorophorus strobilicola	Slender-banded pine cone longhorn beetle																																															▲																				1	
Chrysodeixis chalcites	Golden twin spot moth								▲																																										▲					▲							▲	▲				5	
Cocadviroid Coconut cadang-cadang viroid	Coconut cadang-cadang (CCCVd)																																							▲																												1	
Conogethes punctiferalis	Castor capsule borer													▲										▲																			▲												▲													4	
Crocidosema aporema	Bud borer																																																							▲												1	
Cronartium flaccidum	Scots pine blister rust																																															▲																				1	
Cryptoblabes gnidiella	Christmas berry webworm					▲														▲										▲																				▲																		4	
Darna pallivitta 	Nettle caterpillar						▲															▲																		▲																												3	
Dendrolimus pini	Pine-tree lappet																																															▲																				1	
Dendrolimus punctatus	Masson pine moth																																															▲																				1	
Dendrolimus sibiricus	Siberian silk moth																																															▲																				1	
Diabrotica speciosa	Cucurbit beetle																						▲							▲														▲		▲					▲	▲				▲											▲	8	
Diprion pini	Pine sawfly																																															▲																				1	
Ditylenchus angustus	Rice stem nematode																																																				▲															1	
Enarmonia formosana	Cherry bark tortrix																		▲																																																	1	
