																																					
Scientific Name	Common Name	Alder	Apple*	Ash	Avocado*	Beech	Birch	Blueberry*	Camellia	Cedar	Cherry*	Chestnut	Cypress	Douglas fir	Elm	Eucalyptus	Fir	Hazel	Holly	Juniper	Larch	Linden	Maples	Mulberry	New World palms/Palmetto	Oak*	Pawpaw	Pine*	Poplar	Rhododendron	Sassafras	Spruce	Sweet gum	Walnut*	Willow	Pest Commodity Total	NOTES
Adoxophyes orana	Summer fruit tortrix moth		▲								▲																									2	
Aeolesthes sarta	City longhorned beetle																												▲					▲	▲	3	
Agrilus auroguttatus	Goldspotted oak borer																									▲										1	
Agrilus biguttatus	Oak splendour beetle																									▲										1	
Agrilus planipennis	Emerald ash borer			▲																																1	
Anoplophora chinensis	Citrus longhorned beetle		▲															▲					▲						▲						▲	5	
Anoplophora glabripennis	Asian longhorned beetle						▲								▲								▲												▲	4	
Archips xylosteanus	Variegated golden tortrix		▲																							▲										2	
Argyresthia pruniella 	Cherry blossom moth										▲																									1	
Aspidiotus rigidus	False coconut scale																								▲											1	
Bursaphelenchus cocophilus	Red ring nematode																								▲											1	
Callidiellum villosulum	Brown fir longhorned beetle									▲							▲											▲								3	
 'Candidatus Phytoplasma australiense' 16SrXII-B	Australian grapevine yellows																										▲						▲			2	
 'Candidatus Phytoplasma mali' 16SrX-A	Apple proliferation		▲																																	1	
 'Candidatus Phytoplasma palmae' 16Sr-IV 	Palm lethal yellowing																								▲											1	
 'Candidatus Phytoplasma pini' 16SrXXI-A	Pine witches’ broom																											▲								1	
Ceroplastes japonicus	Japanese wax scale    																		▲																	1	
Chlorophorus strobilicola	Slender-banded pine cone longhorn beetle																											▲								1	
Cocadviroid Coconut cadang-cadang viroid	Coconut cadang-cadang (CCCVd)																								▲											1	
Cronartium flaccidum	Scots pine blister rust																											▲								1	
Cryptoblabes gnidiella	Christmas berry webworm				▲																															1	
Darna pallivitta 	Nettle caterpillar																								▲											1	
Dendroctonus micans	European spruce beetle																															▲				1	
Dendrolimus pini	Pine-tree lappet																											▲								1	
Dendrolimus punctatus	Masson pine moth																											▲								1	
Dendrolimus sibiricus	Siberian silk moth													▲			▲				▲							▲				▲				5	
Diprion pini	Pine sawfly																											▲								1	
Enarmonia formosana	Cherry bark tortrix										▲																									1	
Epiphyas postvittana	Light brown apple moth		▲		▲			▲								▲												▲	▲							6	
Grapholita funebrana	Plum fruit moth										▲																									1	
Haplaxius crudus	American palm cixiid																								▲											1	
Heteronychus arator	Black maize beetle															▲																				1	
Hylobius abietis	Large pine weevil																											▲				▲				2	
Hymenoscyphus fraxineus 	Ash dieback			▲																																1	
Ips sexdentatus	Six-toothed bark beetle																											▲								1	
Ips typographus	European spruce bark beetle																															▲				1	
Leucoptera malifoliella 	Pear leaf blister moth		▲								▲																									2	
Lymantria albescens	Okinawa gypsy moth															▲																				1	
Lymantria dispar asiatica	Asian gypsy moth	▲	▲												▲						▲	▲				▲			▲				▲		▲	9	
Lymantria dispar japonica	Japanese gypsy moth 																																▲			1	
Lymantria mathura	Rosy moth																									▲										1	
Lymantria monacha	Nun moth 																▲				▲							▲				▲				4	
Lymantria umbrosa	Hokkaido gypsy moth																				▲															1	
Massicus raddei	Mountain oak longhorned beetle																									▲										1	
Megaplatypus mutatus	No common name, an ambrosia beetle		▲																															▲		2	
Monilia polystroma 	Asiatic brown rot		▲								▲																									2	
Monilinia fructigena 	Brown rot, Apple brown rot		▲								▲																									2	
Monochamus alternatus	Japanese pine sawyer																											▲								1	
Monochamus saltuarius	Sakhalin pine sawyer																				▲							▲				▲				3	
Monochamus sutor	Small white-marmorated longhorned beetle																▲				▲							▲				▲				4	
Monochamus urussovii	Black fir sawyer																▲				▲							▲				▲				4	
Neofusicoccum mangiferae	Mango fruit rot				▲																															1	
Orthotomicus erosus	Mediterraneran pine engraver																								▲			▲								2	
Panolis flammea	Pine beauty moth																											▲								1	
Paysandisia archon	South American palm borer																								▲											1	
Phytophthora alni	Alder root and collar rot	▲																																		1	
Phytophthora austrocedrae 	Mal del ciprés (Cypress mortality)												▲							▲																2	
Phytophthora kernoviae	Beech bleeding canker					▲																								▲						2	
Phytophthora quercina	Oak decline																									▲										1	
Pityogenes chalcographus	Six-toothed spruce bark beetle																															▲				1	
Platypus quercivorus	Oak ambrosia beetle																									▲										1	
Pseudocercospora pini-densiflorae	Needle blight of pine																											▲								1	
Raffaelea quercivora	Japanese oak wilt																									▲										1	
Raoiella indica 	Red palm mite																								▲											1	
Rhabdoscelus obscurus 	New Guinea sugarcane weevil																								▲											1	
Rhagoletis cerasi	European cherry fruit fly										▲																									1	
Rhynchophorus ferrugineus	Red palm weevil																								▲											1	
Rhynchophorus palmarum 	South American palm weevil																								▲											1	
Scolytus intricatus	European oak bark beetle											▲														▲										2	
Spodoptera littoralis	Egyptian cottonworm				▲																			▲		▲										3	
Spodoptera litura	Cotton cutworm 		▲						▲															▲												3	
Stenoma catenifer	Avocado seed moth				▲																															1	
Tetropium castaneum	Black spruce beetle																▲											▲				▲				3	
Tetropium fuscum	Brown spruce longhorned beetle																▲				▲							▲					▲			4	
Thaumatotibia leucotreta	False codling moth    				▲																															1	
Thaumetopoea pityocampa	Pine processionary moth									▲																		▲								2	
Thaumetopoea processionea	Oak processionary moth																									▲										1	
Tomicus destruens	Mediterranean pine shoot beetle																											▲								1	
Tomicus minor	Lesser pine shoot beetle																											▲								1	
Tortrix viridana	Green oak tortrix																									▲										1	
Tremex fuscicornis	Tremex woodwasp 																												▲						▲	2	"Information is unclear. CABI lists many ""main hosts"" (including Prunus spp.) with no reference. The NPRG report lists many hosts but only Poplar and Willow as ""primary hosts.""  I am only listing poplar and willow as a primary host."
Trichoferus campestris	Velvet longhorned beetle		▲								▲													▲												3	This beetle also can live in many dead wood hosts. Only known major living hosts are included here. 
Trypodendron domesticum	European hardwood ambrosia beetle					▲	▲																			▲										3	
Xyleborus glabratus	Redbay ambrosia beetle				▲																										▲					2	
	Total Pests Per Commodity:	2	12	2	7	2	2	1	1	2	9	1	1	1	2	3	7	1	1	1	8	1	2	3	12	14	1	24	5	1	1	10	4	2	5		
																																					
▲ = Primary host (economic damage has been reported in the scientific literature)																																					
* = Included as a commodity and a tree/shrub																																					
