sourceTaxonName	sourceTaxonNameCommon	interactionTypeId	interactionTypeName	targetTaxonName	referenceCitation	referenceUrl
Agrilus auroguttatus	Goldspotted oak borer	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States.	http://caps.ceris.purdue.edu/pest-lists
Agrilus biguttatus	Oak splendor beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Agrilus planipennis	Emerald ash borer	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Anoplophora chinensis	Citrus longhorned beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Anoplophora glabripennis	Asian longhorned beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Chlorophorus annularis	Bamboo borer	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Chlorophorus strobilicola	Slender-banded pine cone longhorn beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Dendroctonus micans	Great spruce bark beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Ips sexdentatus	Six-toothed bark beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Ips typographus	European spruce bark beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Megaplatypus mutatus 	No common name, an ambrosia beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Monochamus alternatus	Japanese pine sawyer	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Monochamus saltuarius	Japanese pine sawyer	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Monochamus sutor	Small white-marmorated longhorned beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Monochamus urussovii	Black fir sawyer	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Orthotomicus erosus	Mediterraneran pine engraver	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Pityogenes chalcographus	Six-toothed spruce bark beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Platypus quercivorus	Oak ambrosia beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Scolytus intricatus	European oak bark beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Tetropium castaneum	Black spruce beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Tetropium fuscum	Brown spruce longhorned beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Tomicus destruens	Pine shoot beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Tomicus minor	Lesser pine shoot beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Tomicus piniperda	Pine shoot beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Trichoferus campestris	Velvet longhorned beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Trypodendron domesticum	European hardwood ambrosia beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
